Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,My School,34.41693,-119.486,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://upload.wikimedia.org/wikipedia/commons/9/92/Ucsbseal.jpg
UCLA,"The University of California, Los Angeles is a public research university in Los Angeles, California. UCLA traces its early origins back to 1882 as the southern branch of the California State Normal School.",34.06857,-118.445,"https://en.wikipedia.org/wiki/University_of_California,_Los_Angeles",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/The_University_of_California_UCLA.svg/800px-The_University_of_California_UCLA.svg.png
UC Berkeley,"Established in 1868 as the state's first land-grant university, it is the oldest campus of the University of California system",37.87202,-122.259,https://en.wikipedia.org/wiki/UCB,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Seal_of_University_of_California%2C_Berkeley.svg/225px-Seal_of_University_of_California%2C_Berkeley.svg.png
UCSD,"The University of California, San Diego is a public research university in San Diego, California. Established in 1960 near the pre-existing Scripps Institution of Oceanography",32.8815,-117,"https://en.wikipedia.org/wiki/University_of_California,_San_Diego",https://upload.wikimedia.org/wikipedia/en/thumb/4/44/University_of_California%2C_San_Diego_seal.svg/800px-University_of_California%2C_San_Diego_seal.svg.png
UCI,"The University of California, Irvine is a public research university in Irvine, California. One of the ten campuses of the University of California system",33.64314791,-117.8453232,"https://en.wikipedia.org/wiki/University_of_California,_Irvine",https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/University_of_California%2C_Irvine_seal.svg/800px-University_of_California%2C_Irvine_seal.svg.png
UCR,"The University of California, Riverside is a public research university in Riverside, California. It is one of the 10 campuses of the University of California system. The main campus sits on 1,900 acres in a suburban district of Riverside with a branch campus of 20 acres in Palm Desert.",33.9737,-117.3281,"https://en.wikipedia.org/wiki/University_of_California,_Riverside",https://www.hillel.org/CGimages/IMAGE-06112012093057.jpg
UCSF,It is part of the University of California system and it is dedicated entirely to health science. It is a major center of medical and biological research and teaching.,37.7627,-122.4581,"https://en.wikipedia.org/wiki/University_of_California,_San_Francisco",https://upload.wikimedia.org/wikipedia/commons/1/19/The_University_of_California_1868_UCSF.svg
UCD,"The University of California, Davis (UC Davis, UCD, or Davis) is a public research university and land-grant university located near Davis, California.[10] It is one of the ten campuses of the University of California system, and has the third-largest enrollment in the system after UCLA and UC Berkeley.",38.54,-121.75,"https://en.wikipedia.org/wiki/University_of_California,_Davis",https://upload.wikimedia.org/wikipedia/commons/f/f3/The_University_of_California_Davis.svg
UCM,"The University of California, Merced (UC Merced) is a public research university in Merced, California and is the tenth and newest of the University of California campuses.[8] Established in 2005, UC Merced is classified among ""R2: Doctoral Universities – High research activity"".",37.366,-120.4235,"https://en.wikipedia.org/wiki/University_of_California,_Merced",https://upload.wikimedia.org/wikipedia/en/d/df/Seal_of_UC%2C_Merced.png
UCSC,"The University of California, Santa Cruz (UC Santa Cruz or UCSC) is a public research university in Santa Cruz, California. It is one of 10 campuses in the University of California system. Located 75 miles (120 km) south of San Francisco at the edge of the coastal community of Santa Cruz, the campus lies on 2,001 acres (810 ha) of rolling, forested hills overlooking the Pacific Ocean and Monterey Bay.",36.9881,-122.0582,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Cruz",https://upload.wikimedia.org/wikipedia/commons/5/53/The_University_of_California_1868_UCSC.svg
